T,den,DG,rate,beta_TS
278.0,0.0,8.256434644433675,99892890.91782017,0.3
278.0,0.1,8.056434644433676,99895484.12164332,0.3
278.0,0.2,7.856434644433675,99898077.39278565,0.3
278.0,0.30000000000000004,7.656434644433675,99900670.7312489,0.3
278.0,0.4,7.456434644433675,99903264.1370348,0.3
278.0,0.5,7.256434644433675,99905857.6101451,0.3
278.0,0.6000000000000001,7.056434644433675,99908451.15058158,0.3
278.0,0.7000000000000001,6.856434644433675,99911044.75834595,0.3
278.0,0.8,6.656434644433675,99913638.43343997,0.3
278.0,0.9,6.456434644433675,99916232.1758654,0.3
278.0,1.0,6.256434644433675,99918825.98562397,0.3
278.0,1.1,6.056434644433675,99921419.86271743,0.3
278.0,1.2000000000000002,5.856434644433675,99924013.80714755,0.3
278.0,1.3,5.656434644433675,99926607.81891605,0.3
278.0,1.4000000000000001,5.456434644433674,99929201.8980247,0.3
278.0,1.5,5.256434644433675,99931796.04447521,0.3
278.0,1.6,5.056434644433675,99934390.25826938,0.3
278.0,1.7000000000000002,4.856434644433675,99936984.53940894,0.3
278.0,1.8,4.656434644433675,99939578.88789561,0.3
278.0,1.9000000000000001,4.456434644433674,99942173.30373119,0.3
278.0,2.0,4.256434644433675,99944767.78691737,0.3
278.0,2.1,4.056434644433675,99947362.33745594,0.3
278.0,2.2,3.8564346444336746,99949956.95534866,0.3
278.0,2.3000000000000003,3.6564346444336744,99952551.64059722,0.3
278.0,2.4000000000000004,3.456434644433674,99955146.39320341,0.3
278.0,2.5,3.256434644433675,99957741.21316898,0.3
278.0,2.6,3.0564346444336747,99960336.10049567,0.3
278.0,2.7,2.8564346444336746,99962931.05518523,0.3
278.0,2.8000000000000003,2.6564346444336744,99965526.0772394,0.3
278.0,2.9000000000000004,2.456434644433674,99968121.16665994,0.3
278.0,3.0,2.256434644433675,99970716.3234486,0.3
278.0,3.1,2.0564346444336747,99973311.54760711,0.3
278.0,3.2,1.8564346444336746,99975906.83913726,0.3
278.0,3.3000000000000003,1.6564346444336744,99978502.19804074,0.3
278.0,3.4000000000000004,1.4564346444336742,99981097.62431934,0.3
278.0,3.5,1.256434644433675,99983693.11797482,0.3
278.0,3.6,1.0564346444336747,99986288.6790089,0.3
278.0,3.7,0.8564346444336746,99988884.30742334,0.3
278.0,3.8000000000000003,0.6564346444336744,99991480.00321987,0.3
278.0,3.9000000000000004,0.4564346444336742,99994075.76640026,0.3
278.0,4.0,0.2564346444336749,99996671.59696628,0.3
278.0,4.1000000000000005,0.05643464443367385,99999267.49491964,0.3
278.0,4.2,-0.14356535556632544,100001863.46026209,0.3
278.0,4.3,-0.3435653555663247,100004459.49299541,0.3
278.0,4.4,-0.5435653555663258,100007055.59312135,0.3
278.0,4.5,-0.7435653555663251,100009651.76064162,0.3
278.0,4.6000000000000005,-0.9435653555663261,100012247.99555801,0.3
278.0,4.7,-1.1435653555663254,100014844.29787225,0.3
278.0,4.800000000000001,-1.3435653555663265,100017440.66758607,0.3
278.0,4.9,-1.5435653555663258,100020037.10470127,0.3
278.0,5.0,-1.743565355566325,100022633.60921955,0.3
278.0,5.1000000000000005,-1.9435653555663261,100025230.18114269,0.3
278.0,5.2,-2.1435653555663254,100027826.82047242,0.3
278.0,5.300000000000001,-2.3435653555663265,100030423.5272105,0.3
278.0,5.4,-2.543565355566326,100033020.3013587,0.3
278.0,5.5,-2.743565355566325,100035617.14291874,0.3
278.0,5.6000000000000005,-2.943565355566326,100038214.0518924,0.3
278.0,5.7,-3.1435653555663254,100040811.02828138,0.3
278.0,5.800000000000001,-3.3435653555663265,100043408.07208747,0.3
278.0,5.9,-3.543565355566326,100046005.18331242,0.3
278.0,6.0,-3.743565355566325,100048602.36195797,0.3
278.0,6.1000000000000005,-3.943565355566326,100051199.60802586,0.3
278.0,6.2,-4.143565355566325,100053796.92151786,0.3
278.0,6.300000000000001,-4.3435653555663265,100056394.30243571,0.3
278.0,6.4,-4.543565355566326,100058991.75078116,0.3
278.0,6.5,-4.743565355566325,100061589.26655598,0.3
278.0,6.6000000000000005,-4.943565355566326,100064186.84976189,0.3
278.0,6.7,-5.143565355566325,100066784.50040063,0.3
278.0,6.800000000000001,-5.3435653555663265,100069382.21847402,0.3
278.0,6.9,-5.543565355566326,100071980.00398372,0.3
278.0,7.0,-5.743565355566325,100074577.85693155,0.3
278.0,7.1000000000000005,-5.943565355566326,100077175.77731925,0.3
278.0,7.2,-6.143565355566325,100079773.76514854,0.3
278.0,7.300000000000001,-6.3435653555663265,100082371.82042117,0.3
278.0,7.4,-6.543565355566326,100084969.94313894,0.3
278.0,7.5,-6.743565355566325,100087568.13330355,0.3
278.0,7.6000000000000005,-6.943565355566326,100090166.39091676,0.3
278.0,7.7,-7.143565355566325,100092764.71598037,0.3
278.0,7.800000000000001,-7.3435653555663265,100095363.10849607,0.3
278.0,7.9,-7.543565355566326,100097961.56846562,0.3
278.0,8.0,-7.743565355566325,100100560.0958908,0.3
279.0,0.0,8.067793031244136,99895711.78784983,0.3
279.0,0.1,7.867793031244136,99898295.76988229,0.3
279.0,0.2,7.667793031244136,99900879.81875409,0.3
279.0,0.30000000000000004,7.4677930312441365,99903463.93446696,0.3
279.0,0.4,7.267793031244136,99906048.11702263,0.3
279.0,0.5,7.067793031244136,99908632.36642282,0.3
279.0,0.6000000000000001,6.867793031244136,99911216.68266925,0.3
279.0,0.7000000000000001,6.667793031244136,99913801.06576367,0.3
279.0,0.8,6.4677930312441365,99916385.5157078,0.3
279.0,0.9,6.267793031244136,99918970.03250338,0.3
279.0,1.0,6.067793031244136,99921554.61615214,0.3
279.0,1.1,5.867793031244136,99924139.26665576,0.3
279.0,1.2000000000000002,5.667793031244136,99926723.98401605,0.3
279.0,1.3,5.4677930312441365,99929308.76823466,0.3
279.0,1.4000000000000001,5.2677930312441354,99931893.61931339,0.3
279.0,1.5,5.067793031244136,99934478.53725392,0.3
279.0,1.6,4.867793031244136,99937063.522058,0.3
279.0,1.7000000000000002,4.667793031244136,99939648.57372734,0.3
279.0,1.8,4.4677930312441365,99942233.6922637,0.3
279.0,1.9000000000000001,4.2677930312441354,99944818.87766878,0.3
279.0,2.0,4.067793031244136,99947404.12994434,0.3
279.0,2.1,3.867793031244136,99949989.44909209,0.3
279.0,2.2,3.667793031244136,99952574.83511378,0.3
279.0,2.3000000000000003,3.4677930312441356,99955160.28801109,0.3
279.0,2.4000000000000004,3.2677930312441354,99957745.80778581,0.3
279.0,2.5,3.067793031244136,99960331.39443962,0.3
279.0,2.6,2.867793031244136,99962917.0479743,0.3
279.0,2.7,2.667793031244136,99965502.76839155,0.3
279.0,2.8000000000000003,2.4677930312441356,99968088.55569309,0.3
279.0,2.9000000000000004,2.2677930312441354,99970674.40988067,0.3
279.0,3.0,2.067793031244136,99973260.330956,0.3
279.0,3.1,1.867793031244136,99975846.31892085,0.3
279.0,3.2,1.6677930312441358,99978432.3737769,0.3
279.0,3.3000000000000003,1.4677930312441356,99981018.49552593,0.3
279.0,3.4000000000000004,1.2677930312441354,99983604.68416962,0.3
279.0,3.5,1.0677930312441362,99986190.93970972,0.3
279.0,3.6,0.867793031244136,99988777.262148,0.3
279.0,3.7,0.6677930312441358,99991363.65148613,0.3
279.0,3.8000000000000003,0.4677930312441356,99993950.10772587,0.3
279.0,3.9000000000000004,0.26779303124413545,99996536.63086894,0.3
279.0,4.0,0.06779303124413616,99999123.22091709,0.3
279.0,4.1000000000000005,-0.1322069687558649,100001709.87787205,0.3
279.0,4.2,-0.3322069687558642,100004296.6017355,0.3
279.0,4.3,-0.5322069687558635,100006883.39250925,0.3
279.0,4.4,-0.7322069687558646,100009470.25019495,0.3
279.0,4.5,-0.9322069687558638,100012057.1747944,0.3
279.0,4.6000000000000005,-1.132206968755865,100014644.1663093,0.3
279.0,4.7,-1.3322069687558642,100017231.22474137,0.3
279.0,4.800000000000001,-1.5322069687558653,100019818.35009237,0.3
279.0,4.9,-1.7322069687558646,100022405.54236402,0.3
279.0,5.0,-1.9322069687558638,100024992.80155802,0.3
279.0,5.1000000000000005,-2.132206968755865,100027580.12767614,0.3
279.0,5.2,-2.332206968755864,100030167.5207201,0.3
279.0,5.300000000000001,-2.5322069687558653,100032754.98069161,0.3
279.0,5.4,-2.7322069687558646,100035342.50759242,0.3
279.0,5.5,-2.932206968755864,100037930.1014243,0.3
279.0,5.6000000000000005,-3.132206968755865,100040517.76218891,0.3
279.0,5.7,-3.332206968755864,100043105.48988801,0.3
279.0,5.800000000000001,-3.5322069687558653,100045693.28452335,0.3
279.0,5.9,-3.7322069687558646,100048281.14609665,0.3
